YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
85,9,20,13,257,4.2,5.3,1.2,6.3,5.4,999,1020.8,8.4,999,999,99
85,9,20,14,280,4,5.3,1.1,5.6,5.4,999,1020.6,8.3,999,999,99
85,9,20,15,317,4.1,5,1.2,6.3,5.4,999,1020.3,8.1,999,999,99
85,9,20,16,321,4.4,5.5,1.1,5.9,5.3,999,1020.2,7.9,999,999,99
85,9,20,17,322,3.9,4.8,1.1,5.9,5.3,999,1020.3,7.9,999,999,99
85,9,20,18,329,3.5,4.6,1.1,5.9,5.3,999,1020.4,7.9,999,999,99
85,9,20,19,351,2.4,3.3,1,6.3,5.3,999,1020.5,8.1,999,999,99
85,9,20,20,4,2.5,3.1,1,6.7,5.4,999,1020.8,8.3,999,999,99
85,9,20,21,4,2.9,3.8,0.9,6.3,5.3,999,1020.7,8.5,999,999,99
85,9,20,22,6,2.4,3.7,0.9,6.7,5.4,999,1020.7,8.4,999,999,99
85,9,20,23,15,3.3,4.3,0.9,6.3,5.3,999,1020.5,8.2,999,999,99
85,9,21,0,22,1.8,2.5,0.8,6.3,5.3,999,1020.6,8.4,999,999,99
85,9,21,1,47,2.3,3.2,0.8,6.3,5.2,999,1020.3,8.5,999,999,99
85,9,21,2,17,3,3.7,0.8,5.9,5.4,999,1020,8.4,999,999,99
85,9,21,3,30,2.6,3.5,0.8,5.9,5.3,999,1019.9,8.6,999,999,99
85,9,21,4,35,3.1,3.8,0.8,5.9,5.5,999,1019.8,8.2,999,999,99
85,9,21,5,36,2.9,3.7,0.7,5.9,5.3,999,1019.8,8.1,999,999,99
85,9,21,6,45,3.1,4,0.7,5.9,5.4,999,1019.6,7.9,999,999,99
85,9,21,7,45,3.8,4.7,0.9,5.6,5.6,999,1019.4,8,999,999,99
85,9,21,10,41,3.9,4.6,0.8,6.7,5.5,999,1018.9,8,999,999,99
85,9,21,11,35,4.7,5.4,0.8,6.7,5.6,999,1018.7,8,999,999,99
85,9,21,12,24,5.5,6.2,0.9,6.7,5.6,999,1018.3,7.9,999,999,99
85,9,21,13,32,5.4,6.5,0.8,6.3,5.4,999,1018,7.9,999,999,99
85,9,21,14,45,4.5,5.5,0.9,6.7,5.4,999,1017.7,6.9,999,999,99
85,9,21,15,61,6,7.2,0.8,6.7,5.7,999,1017.3,7.5,999,999,99
85,9,21,16,64,6.2,8,0.9,6.3,5.3,999,1016.8,8.2,999,999,99
85,9,21,17,68,7.1,8.9,1.2,8.3,5.2,999,1016.1,8.3,999,999,99
85,9,21,18,59,6.9,8.9,1.4,7.7,5.3,999,1015.9,7.7,999,999,99
85,9,21,19,71,7.3,8.9,1.6,7.7,5.6,999,1015.7,7.6,999,999,99
85,9,21,20,49,8.4,10.1,1.6,7.7,5.8,999,1015.5,7.4,999,999,99
85,9,21,21,40,8.2,9.9,1.5,7.7,5.4,999,1015.3,7.4,999,999,99
85,9,21,22,39,6.5,8.1,1.5,7.7,5.2,999,1015.1,7.4,999,999,99
85,9,21,23,44,6.4,7.9,1.3,7.1,5.2,999,1014.5,7.6,999,999,99
85,9,22,0,44,7.1,8.8,1.4,7.1,5.3,999,1013.9,7.5,999,999,99
85,9,22,1,33,6.6,8.5,1.3,7.1,5.2,999,1013.5,7.2,999,999,99
85,9,22,2,42,7,8.6,1.4,6.7,5.4,999,1012.8,7.3,999,999,99
85,9,22,3,38,5.6,7.7,1.4,9.1,5.6,999,1012.5,6.8,999,999,99
85,9,22,4,45,7.1,9.4,1.6,9.1,5.7,999,1012.1,7.4,999,999,99
85,9,22,5,40,8.2,10.2,1.8,9.1,5.6,999,1011.6,7.2,999,999,99
85,9,22,6,21,7.8,10,1.7,8.3,5.8,999,1011.6,7.5,999,999,99
85,9,22,7,12,7.3,8.9,1.8,8.3,5.7,999,1011.5,7.3,999,999,99
85,9,22,10,43,7.9,9.8,1.6,8.3,5.6,999,1011.3,7.1,999,999,99
85,9,22,11,43,6.7,8.7,1.7,8.3,5.5,999,1011.2,6.9,999,999,99
85,9,22,12,21,6.8,8.5,1.6,7.7,5.7,999,1010.8,6.7,999,999,99
85,9,22,13,4,6.3,7.9,1.4,7.7,5.7,999,1010.5,6.8,999,999,99
85,9,22,14,19,7.2,8.9,1.6,8.3,5.9,999,1010.2,6.7,999,999,99
85,9,22,15,19,6.1,8.3,1.7,7.7,5.8,999,1010.2,6.9,999,999,99
85,9,22,16,20,6.7,8.3,1.7,7.7,5.8,999,1010.1,7,999,999,99
85,9,22,17,13,6.3,7.5,1.5,8.3,5.6,999,1010.2,6.9,999,999,99
85,9,22,18,5,6.5,8.1,1.6,7.1,5.6,999,1010.4,6.5,999,999,99
85,9,22,19,19,7.2,9.1,1.5,7.7,5.6,999,1010.3,7,999,999,99
85,9,22,20,8,6.4,7.8,1.4,7.7,5.6,999,1010.5,7,999,999,99
85,9,22,21,1,6.2,7.7,1.4,7.7,5.5,999,1010.8,7,999,999,99
85,9,22,22,1,6.3,7.9,1.5,7.7,5.5,999,1011,7.1,999,999,99
85,9,22,23,13,5.4,6.5,1.5,7.7,5.6,999,1011.1,7.2,999,999,99
85,9,23,0,359,5.4,7,1.5,7.7,5.8,999,1011.2,7.4,999,999,99
85,9,23,1,349,5.7,7.6,1.4,7.7,5.6,999,1011.3,7.3,999,999,99
85,9,23,2,342,4.9,5.9,1.5,7.7,5.9,999,1011.5,7.3,999,999,99
85,9,23,3,339,5.2,6.7,1.5,7.7,5.9,999,1011.5,7.3,999,999,99
85,9,23,4,342,4.5,5.6,1.2,7.1,5.5,999,1011.7,7.2,999,999,99
85,9,23,5,359,3.8,6.1,1.3,7.7,5.7,999,1012.1,6.8,999,999,99
85,9,23,6,351,4.2,5.7,1.2,7.1,5.6,999,1012.7,6.2,999,999,99
85,9,23,7,309,1.7,2.3,1.2,7.1,5.6,999,1013.1,6.5,999,999,99
85,9,23,10,43,3.3,4.3,1.1,6.3,5.6,999,1014.2,6.9,999,999,99
85,9,23,11,347,3.7,4.6,1.1,7.1,5.5,999,1014.5,6.7,999,999,99
85,9,23,12,91,0.1,0.7,1.2,6.7,5.5,999,1014.8,6.1,999,999,99
85,9,23,13,34,0.9,2.1,1.2,7.1,5.7,999,1015,6.5,999,999,99
85,9,23,14,132,0.8,1.7,1.4,7.7,6.1,999,1015.2,6.5,999,999,99
85,9,23,15,195,0.3,1.1,1.3,7.7,6.3,999,1015.2,6.6,999,999,99
85,9,23,16,278,1.1,3.1,1.4,7.7,6.3,999,1015.4,6.6,999,999,99
85,9,23,17,268,3.9,4.9,1.4,7.7,6.4,999,1015.4,6.6,999,999,99
85,9,23,18,298,0.8,1.7,1.3,7.7,6.3,999,1015.8,6.7,999,999,99
85,9,23,19,1,0,0.2,1.3,7.1,6.3,999,1016.2,6.9,999,999,99
85,9,23,20,271,0.1,0.6,1.3,8.3,6.5,999,1016.4,6.9,999,999,99
85,9,23,21,206,1,1.7,1.3,7.7,6.4,999,1016.6,7.8,999,999,99
85,9,23,22,155,2.1,3.1,1.2,7.7,6.5,999,1016.6,7.2,999,999,99
85,9,23,23,193,2,2.8,1.3,8.3,6.6,999,1016.6,7.4,999,999,99
85,9,24,0,191,2.9,3.6,1.4,8.3,6.7,999,1016.5,7.5,999,999,99
85,9,24,1,180,3.8,5.3,1.5,8.3,6.9,999,1016.1,7.7,999,999,99
85,9,24,2,166,4.9,5.7,1.4,7.7,6.9,999,1015.6,7.8,999,999,99
85,9,24,3,162,5,6.1,1.2,8.3,6.6,999,1015.1,7.9,999,999,99
85,9,24,4,157,6.9,8.1,1.2,7.7,6.3,999,1014.7,7.8,999,999,99
85,9,24,5,154,7.8,9.4,1.2,7.7,5.6,999,1014.4,7.9,999,999,99
85,9,24,6,157,7.7,9.4,1.2,7.7,5.2,999,1014.2,7.9,999,999,99
85,9,24,7,144,8.2,9.9,1.2,7.7,4.8,999,1013.7,8,999,999,99
85,9,24,10,164,8.8,10.8,1.4,4.8,4.9,999,1012.4,8.2,999,999,99
85,9,24,11,158,10.5,13.1,1.6,5.3,4.8,999,1011.7,8.3,999,999,99
85,9,24,12,154,10.3,12.9,1.7,5.6,4.9,999,1011.1,8.2,999,999,99
85,9,24,13,144,10.2,12.4,1.7,5.6,4.9,999,1010.4,8.1,999,999,99
85,9,24,14,157,10.1,12.4,1.9,5.9,5.1,999,1009.7,8.2,999,999,99
85,9,24,15,150,11,13.8,2,6.3,5.2,999,1008.6,7.9,999,999,99
85,9,24,16,146,11.9,15,2.2,6.3,5.4,999,1007.6,7.9,999,999,99
85,9,24,17,138,12.3,15.7,2.5,6.7,5.5,999,1006.8,7.8,999,999,99
85,9,24,18,136,12.7,17.2,2.7,7.1,5.6,999,1006.3,8,999,999,99
85,9,24,19,145,12.5,16.6,2.7,7.1,5.7,999,1006,7.6,999,999,99
85,9,24,20,136,12.6,17.2,3.1,7.7,6.2,999,1005.2,7.8,999,999,99
85,9,24,21,132,12.7,18,3.2,7.7,6.3,999,1004.4,8.1,999,999,99
85,9,24,22,132,12.2,17.7,3.4,8.3,6.4,999,1003.7,8.1,999,999,99
85,9,24,23,133,13.2,18.2,3.5,8.3,6.5,999,1002.7,8.6,999,999,99
85,9,25,0,131,13.1,17.8,3.7,8.3,6.9,999,1001.4,8.1,999,999,99
85,9,25,1,125,14,20,3.9,9.1,6.9,999,1000.1,8,999,999,99
85,9,25,2,126,13.6,19.2,4.4,10,7.3,999,999.1,8.2,999,999,99
85,9,25,3,129,12.6,17.2,5,9.1,7.5,999,998.1,8.2,999,999,99
85,9,25,4,129,13.4,19,4.9,10,7.6,999,997.1,8,999,999,99
85,9,25,5,124,13.7,19.7,4.9,10,7.6,999,996.2,8,999,999,99
85,9,25,6,124,13.9,19.8,5.3,10,8,999,995.5,8,999,999,99
85,9,25,7,126,13.8,21.1,5.7,11.1,8.3,999,995,7.8,999,999,99
85,9,25,10,114,13.9,21.1,5.2,11.1,8.1,999,992.7,7.5,999,999,99
